���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575163389-6732,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,STRIPED SWEATER WITH TURTLENECK,https://www.zara.com/us/en/striped-sweater-with-turtleneck-p04566305.html,STRIPED SWEATER WITH TURTLENECK Details,49.90 USD,Black
1575163372-6724,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,ARGYLE JACQUARD SWEATER,https://www.zara.com/us/en/argyle-jacquard-sweater-p04432306.html,ARGYLE JACQUARD SWEATER Details,79.90 USD,Orange
1575163370-6723,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED CABLE KNIT SWEATER,https://www.zara.com/us/en/textured-cable-knit-sweater-p02632300.html,TEXTURED CABLE KNIT SWEATER Details,null,Earth
1575163350-6713,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,CASHMERE TURTLENECK SWEATER,https://www.zara.com/us/en/cashmere-turtleneck-sweater-p00077301.html,CASHMERE TURTLENECK SWEATER Details,169.00 USD,Gray
1575163487-6779,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,DOUBLE BREASTED CARDIGAN BLAZER,https://www.zara.com/us/en/double-breasted-cardigan-blazer-p04228303.html,DOUBLE BREASTED CARDIGAN BLAZER Details,89.90 USD,Navy Blue
1575163430-6752,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED WEAVE MOCK NECK SWEATER,https://www.zara.com/us/en/textured-weave-mock-neck-sweater-p04228301.html,TEXTURED WEAVE MOCK NECK SWEATER Details,59.90 USD,Anthracite Gray
1575163510-6788,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,BLOCK COLOR JACQUARD SWEATER,https://www.zara.com/us/en/block-color-jacquard-sweater-p03859300.html,BLOCK COLOR JACQUARD SWEATER Details,49.90 USD,Black
1575163261-6680,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,WAFFLE KNIT SWEATER,https://www.zara.com/us/en/waffle-knit-sweater-p04805400.html,WAFFLE KNIT SWEATER Details,39.90 USD,White
1575163222-6663,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,MOCK NECK SWEATER,https://www.zara.com/us/en/mock-neck-sweater-p00693313.html,MOCK NECK SWEATER Details,39.90 USD,Maroon
1575163329-6707,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED CABLE KNIT SWEATER,https://www.zara.com/us/en/textured-cable-knit-sweater-p02632301.html,TEXTURED CABLE KNIT SWEATER Details,69.90 USD,Ecru
1575163381-6728,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED WEAVE PATCHWORK SWEATER,https://www.zara.com/us/en/textured-weave-patchwork-sweater-p05507303.html,TEXTURED WEAVE PATCHWORK SWEATER Details,59.90 USD,Navy Blue
1575163414-6744,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED CABLE KNIT SWEATER,https://www.zara.com/us/en/textured-cable-knit-sweater-p00458303.html,TEXTURED CABLE KNIT SWEATER Details,59.90 USD,Sand
1575163401-6738,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,TEXTURED SWEATER,https://www.zara.com/us/en/textured-sweater-p03597309.html,TEXTURED SWEATER Details,69.90 USD,Black
1575163403-6739,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,,https://www.zara.com/us/en/-p04001408.html,Details,49.90 USD,Maroon
1575163399-6737,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,METALLIC THREAD MOCK NECK SWEATER,https://www.zara.com/us/en/metallic-thread-mock-neck-sweater-p04231314.html,METALLIC THREAD MOCK NECK SWEATER Details,39.90 USD,Black
1575163272-6685,https://www.zara.com/us/en/man-knitwear-l681.html?v1=1282840,COLORED MERINO WOOL SWEATER,https://www.zara.com/us/en/colored-merino-wool-sweater-p00693312.html,COLORED MERINO WOOL SWEATER Details,49.90 USD,Geranium
