���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575146133-4056,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,WIDE LEG SATIN PANTS,https://www.zara.com/us/en/wide-leg-satin-pants-p09878227.html,WIDE LEG SATIN PANTS Details,49.90 USD,Olive green
1575145926-3957,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,CROPPED PANTS,https://www.zara.com/us/en/cropped-pants-p07102170.html,CROPPED PANTS Details,35.90 USD,Ecru / Black
1575146121-4050,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,HIGH-WAISTED BUTTONED LEGGINGS,https://www.zara.com/us/en/high-waisted-buttoned-leggings-p09815224.html,HIGH-WAISTED BUTTONED LEGGINGS Details,35.90 USD,Black
1575145973-3979,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,FLORAL PRINTED PANTS,https://www.zara.com/us/en/floral-printed-pants-p07859076.html,FLORAL PRINTED PANTS Details,69.90 USD,Black
1575146142-4060,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,STRAIGHT LEG PANTS,https://www.zara.com/us/en/straight-leg-pants-p08056505.html,STRAIGHT LEG PANTS Details,69.90 USD,Black
1575146603-4279,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,FLARED PANTS,https://www.zara.com/us/en/flared-pants-p08043878.html,FLARED PANTS Details,49.90 USD,Black
1575146545-4251,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,BUTTONED HEM PANTS,https://www.zara.com/us/en/buttoned-hem-pants-p03046247.html,BUTTONED HEM PANTS Details,49.90 USD,Ecru
1575146018-4000,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,STRIPED WIDE LEG PANTS,https://www.zara.com/us/en/striped-wide-leg-pants-p08001524.html,STRIPED WIDE LEG PANTS Details,89.90 USD,Navy blue
1575146272-4123,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,JACQUARD KNIT PANTS,https://www.zara.com/us/en/jacquard-knit-pants-p01822130.html,JACQUARD KNIT PANTS Details,49.90 USD,Brick
1575146251-4113,https://www.zara.com/us/en/woman-trousers-l1335.html?v1=1281627,PINSTRIPE STRAIGHT LEG PANTS,https://www.zara.com/us/en/pinstripe-straight-leg-pants-p08064525.html,PINSTRIPE STRAIGHT LEG PANTS Details,69.90 USD,Gray
