���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575140765-2397,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,FLOWY SHIRT,https://www.zara.com/us/en/flowy-shirt-p06608380.html,FLOWY SHIRT Details,49.90 USD,Khaki
1575140648-2342,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,OVERSHIRT WITH MATCHING PATCHES,https://www.zara.com/us/en/overshirt-with-matching-patches-p09663301.html,OVERSHIRT WITH MATCHING PATCHES Details,49.90 USD,Black
1575140250-2162,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,STRETCH SHIRT,https://www.zara.com/us/en/stretch-shirt-p03894456.html,STRETCH SHIRT Details,null,White
1575140581-2310,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,METAL BUTTON SHIRT,https://www.zara.com/us/en/metal-button-shirt-p03453403.html,METAL BUTTON SHIRT Details,49.90 USD,White
1575140239-2157,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,DOT PRINT PIQU�� SHIRT,https://www.zara.com/us/en/dot-print-piqu%C3%A9-shirt-p07545261.html,DOT PRINT PIQU�� SHIRT Details,35.90 USD,White
1575140623-2330,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,VERTICAL STRIPED SHIRT,https://www.zara.com/us/en/vertical-striped-shirt-p00072289.html,VERTICAL STRIPED SHIRT Details,39.90 USD,Camel
1575140515-2280,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,TEXTURED WEAVE PIQU�� SHIRT,https://www.zara.com/us/en/textured-weave-piqu%C3%A9-shirt-p06264302.html,TEXTURED WEAVE PIQU�� SHIRT Details,35.90 USD,Light Blue Marl
1575140285-2178,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,STRIPED PRINTED SHIRT,https://www.zara.com/us/en/striped-printed-shirt-p04231304.html,STRIPED PRINTED SHIRT Details,39.90 USD,Pastel Pink
1575140863-2444,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,PL/SHRT 03,https://www.zara.com/us/en/pl-shrt-03-p05350312.html,PL/SHRT 03 Details,39.90 USD,Black
1575140664-2350,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,SHORT SLEEVE SHIRT,https://www.zara.com/us/en/short-sleeve-shirt-p05737495.html,SHORT SLEEVE SHIRT Details,39.90 USD,White
1575140881-2446,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,CM-SHRT 03,https://www.zara.com/us/en/cm-shrt-03-p06437007.html,CM-SHRT 03 Details,79.90 USD,Khaki
1575140756-2393,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,SHORT SLEEVE TRAVELER SHIRT,https://www.zara.com/us/en/short-sleeve-traveler-shirt-p05445351.html,SHORT SLEEVE TRAVELER SHIRT Details,35.90 USD,White
1575140885-2448,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,PTCH-SHRT 03,https://www.zara.com/us/en/ptch-shrt-03-p06440004.html,PTCH-SHRT 03 Details,79.90 USD,Khaki
1575140374-2216,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,TIE-DYE PRINT SHIRT,https://www.zara.com/us/en/tie-dye-print-shirt-p00072285.html,TIE-DYE PRINT SHIRT Details,49.90 USD,Gray
1575140310-2188,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,UNEVEN PIQU�� SHIRT,https://www.zara.com/us/en/uneven-piqu%C3%A9-shirt-p06264307.html,UNEVEN PIQU�� SHIRT Details,39.90 USD,Navy Blue
1575140930-2470,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,FLEECE PLAID OVERSHIRT,https://www.zara.com/us/en/fleece-plaid-overshirt-p01821369.html,FLEECE PLAID OVERSHIRT Details,69.90 USD,Red
1575140503-2274,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,SUPER SLIM POPLIN SHIRT,https://www.zara.com/us/en/super-slim-poplin-shirt-p03894464.html,SUPER SLIM POPLIN SHIRT Details,35.90 USD,White
1575140213-2147,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,LEAF PRINT SHIRT,https://www.zara.com/us/en/leaf-print-shirt-p05830891.html,LEAF PRINT SHIRT Details,39.90 USD,Orange
1575140414-2235,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,STRUCTURED STRIPED SHIRT,https://www.zara.com/us/en/structured-striped-shirt-p08211380.html,STRUCTURED STRIPED SHIRT Details,35.90 USD,Blue / White
1575140790-2409,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,TEXTURED WEAVE OXFORD SHIRT,https://www.zara.com/us/en/textured-weave-oxford-shirt-p00072400.html,TEXTURED WEAVE OXFORD SHIRT Details,49.90 USD,White
