���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575137614-1474,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,HOODED THREE QUARTER LENGTH PUFFER JACKET,https://www.zara.com/us/en/hooded-three-quarter-length-puffer-jacket-p03918314.html,HOODED THREE QUARTER LENGTH PUFFER JACKET Details,169.00 USD,Gray
1575137657-1493,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,WOOL BLEND COAT,https://www.zara.com/us/en/wool-blend-coat-p05854360.html,WOOL BLEND COAT Details,149.00 USD,Black
1575137786-1555,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TEXTURED WEAVE CAPE,https://www.zara.com/us/en/textured-weave-cape-p06533368.html,TEXTURED WEAVE CAPE Details,229.00 USD,Black
1575137691-1509,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,SOLID COLOR COAT,https://www.zara.com/us/en/solid-color-coat-p05807526.html,SOLID COLOR COAT Details,199.00 USD,Burgundy
1575137747-1536,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,FLEECE TRIM PARKA,https://www.zara.com/us/en/fleece-trim-parka-p06985307.html,FLEECE TRIM PARKA Details,119.00 USD,Sand
1575137689-1508,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,STRETCH KNIT PLAID COAT,https://www.zara.com/us/en/stretch-knit-plaid-coat-p08288351.html,STRETCH KNIT PLAID COAT Details,199.00 USD,Anthracite Gray
1575137790-1557,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,FAUX FUR COLLAR COAT,https://www.zara.com/us/en/faux-fur-collar-coat-p06594525.html,FAUX FUR COLLAR COAT Details,249.00 USD,Oyster White
1575137751-1538,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TEXTURED WEAVE CHECKERED COAT,https://www.zara.com/us/en/textured-weave-checkered-coat-p07020301.html,TEXTURED WEAVE CHECKERED COAT Details,null,Taupe Brown
1575137749-1537,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,PLAID COAT WITH FAUX FUR COLLAR,https://www.zara.com/us/en/plaid-coat-with-faux-fur-collar-p06531117.html,PLAID COAT WITH FAUX FUR COLLAR Details,249.00 USD,Gray
1575137710-1518,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,FAUX FUR COAT,https://www.zara.com/us/en/faux-fur-coat-p01792316.html,FAUX FUR COAT Details,149.00 USD,Black
1575137741-1533,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,PTCH/PRK 03,https://www.zara.com/us/en/ptch-prk-03-p02488300.html,PTCH/PRK 03 Details,299.00 USD,Khaki
1575137659-1494,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,INVERTED LAPEL COAT,https://www.zara.com/us/en/inverted-lapel-coat-p03057590.html,INVERTED LAPEL COAT Details,199.00 USD,Camel
1575137733-1529,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,M1/PRK 03,https://www.zara.com/us/en/m1-prk-03-p04369391.html,M1/PRK 03 Details,229.00 USD,Khaki
1575137761-1543,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,HOODED THREE-QUARTER LENGTH PUFFER JACKET,https://www.zara.com/us/en/hooded-three-quarter-length-puffer-jacket-p06985305.html,HOODED THREE-QUARTER LENGTH PUFFER JACKET Details,129.00 USD,Black
1575137639-1486,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,ASYMMETRICAL COLLAR COAT,https://www.zara.com/us/en/asymmetrical-collar-coat-p05784630.html,ASYMMETRICAL COLLAR COAT Details,249.00 USD,Light Gray
1575137664-1496,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TWO-TONE TEXTURED WEAVE COAT,https://www.zara.com/us/en/two-tone-textured-weave-coat-p00706378.html,TWO-TONE TEXTURED WEAVE COAT Details,149.00 USD,Light Gray
1575137609-1472,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,PUFFER JACKET,https://www.zara.com/us/en/puffer-jacket-p06518300.html,PUFFER JACKET Details,129.00 USD,Black
1575137774-1549,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TEXTURED PATCHWORK COAT,https://www.zara.com/us/en/textured-patchwork-coat-p06489305.html,TEXTURED PATCHWORK COAT Details,249.00 USD,Anthracite Gray
1575137683-1505,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,REVERSIBLE PUFFER JACKET,https://www.zara.com/us/en/reversible-puffer-jacket-p01792313.html,REVERSIBLE PUFFER JACKET Details,169.00 USD,Khaki
1575137697-1512,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TAILORED PLAID COAT,https://www.zara.com/us/en/tailored-plaid-coat-p05807602.html,TAILORED PLAID COAT Details,229.00 USD,Caramel
1575137737-1531,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,P/CT 03,https://www.zara.com/us/en/p-ct-03-p06476012.html,P/CT 03 Details,299.00 USD,Navy Blue
