���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575141783-2615,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,BELTED COAT,https://www.zara.com/us/en/belted-coat-p04070223.html,BELTED COAT Details,169.00 USD,Mink
1575141905-2674,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,FAUX FUR BELTED COAT,https://www.zara.com/us/en/faux-fur-belted-coat-p01255215.html,FAUX FUR BELTED COAT Details,129.00 USD,Black
1575141704-2577,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,HOUNDSTOOTH FROCK COAT,https://www.zara.com/us/en/houndstooth-frock-coat-p07910300.html,HOUNDSTOOTH FROCK COAT Details,89.90 USD,Pink / White
1575141723-2586,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,LONG POCKET COAT,https://www.zara.com/us/en/long-pocket-coat-p07947744.html,LONG POCKET COAT Details,199.00 USD,Mid-camel
1575141599-2526,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,FLEECE BOMBER,https://www.zara.com/us/en/fleece-bomber-p01255904.html,FLEECE BOMBER Details,null,Ecru
1575141831-2638,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,SHORT BUTTONED COAT,https://www.zara.com/us/en/short-buttoned-coat-p08165744.html,SHORT BUTTONED COAT Details,169.00 USD,Navy blue
1575141804-2625,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,BUTTONED COAT,https://www.zara.com/us/en/buttoned-coat-p05854225.html,BUTTONED COAT Details,199.00 USD,Pink
1575141810-2628,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,INVERTED LAPEL FROCK COAT,https://www.zara.com/us/en/inverted-lapel-frock-coat-p08148813.html,INVERTED LAPEL FROCK COAT Details,89.90 USD,Pink
1575141885-2664,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,MENSWEAR COAT WITH POCKETS,https://www.zara.com/us/en/menswear-coat-with-pockets-p01255233.html,MENSWEAR COAT WITH POCKETS Details,119.00 USD,Gray
1575141932-2687,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,FAUX FUR COAT,https://www.zara.com/us/en/faux-fur-coat-p06318228.html,FAUX FUR COAT Details,119.00 USD,Leopard
1575141938-2690,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,FLEECE COAT,https://www.zara.com/us/en/fleece-coat-p04341232.html,FLEECE COAT Details,129.00 USD,Beige
1575141791-2619,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,BUTTONED MENSWEAR COAT,https://www.zara.com/us/en/buttoned-menswear-coat-p07946745.html,BUTTONED MENSWEAR COAT Details,169.00 USD,Gray
1575141688-2569,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,COAT WITH POCKETS,https://www.zara.com/us/en/coat-with-pockets-p07837349.html,COAT WITH POCKETS Details,89.90 USD,Oyster White
1575141924-2683,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,LONG CAPE WITH POCKETS,https://www.zara.com/us/en/long-cape-with-pockets-p08315744.html,LONG CAPE WITH POCKETS Details,149.00 USD,Mid-camel
1575141773-2610,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,FAUX SUEDE TRENCH COAT WITH BELT,https://www.zara.com/us/en/faux-suede-trench-coat-with-belt-p03046279.html,FAUX SUEDE TRENCH COAT WITH BELT Details,89.90 USD,Stone
1575141839-2642,https://www.zara.com/us/en/woman-outerwear-l1184.html?v1=1281618,SORONA �� DUPONT䋢 PUFFER COAT,https://www.zara.com/us/en/sorona-%C2%AE-dupont%E2%84%A2-puffer-coat-p03427219.html,SORONA �� DUPONT䋢 PUFFER COAT Details,149.00 USD,Black
