���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575158025-6333,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,OFF-THE-SHOULDER DRESS,https://www.zara.com/us/en/off-the-shoulder-dress-p04369100.html,OFF-THE-SHOULDER DRESS Details,69.90 USD,Black
1575157611-6133,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,MERINO WOOL SWEATER,https://www.zara.com/us/en/merino-wool-sweater-p05755102.html,MERINO WOOL SWEATER Details,69.90 USD,beige
1575157508-6083,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,DRESS WITH SHOULDER DETAIL,https://www.zara.com/us/en/dress-with-shoulder-detail-p01822107.html,DRESS WITH SHOULDER DETAIL Details,49.90 USD,Black
1575157882-6264,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,CASHMERE SWEATER,https://www.zara.com/us/en/cashmere-sweater-p00166101.html,CASHMERE SWEATER Details,249.00 USD,Dark gray
1575157706-6179,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,KNIT DRESS WITH ORGANZA SLEEVES,https://www.zara.com/us/en/knit-dress-with-organza-sleeves-p02488137.html,KNIT DRESS WITH ORGANZA SLEEVES Details,69.90 USD,Black
1575157905-6275,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,DRESS WITH MATCHING SWISS DOT,https://www.zara.com/us/en/dress-with-matching-swiss-dot-p02142146.html,DRESS WITH MATCHING SWISS DOT Details,49.90 USD,Black
1575157322-5994,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,BELL SLEEVE TOP,https://www.zara.com/us/en/bell-sleeve-top-p01509032.html,BELL SLEEVE TOP Details,35.90 USD,White
1575157500-6079,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,LACE TRIMMED SWEATER,https://www.zara.com/us/en/lace-trimmed-sweater-p02142134.html,LACE TRIMMED SWEATER Details,39.90 USD,Pale pink
1575157866-6256,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,RIBBED KNIT SWEATER,https://www.zara.com/us/en/ribbed-knit-sweater-p03859117.html,RIBBED KNIT SWEATER Details,49.90 USD,Green
1575157986-6314,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,KNIT SWEATER,https://www.zara.com/us/en/knit-sweater-p03653104.html,KNIT SWEATER Details,39.90 USD,Black
1575158143-6390,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,MERINO WOOL DRESS,https://www.zara.com/us/en/merino-wool-dress-p05755122.html,MERINO WOOL DRESS Details,89.90 USD,Taupe gray
1575158056-6348,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,CROCHETED DETAIL SWEATER,https://www.zara.com/us/en/crocheted-detail-sweater-p00021118.html,CROCHETED DETAIL SWEATER Details,89.90 USD,Ecru
1575158136-6387,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,PURL KNIT SWEATER,https://www.zara.com/us/en/purl-knit-sweater-p05755135.html,PURL KNIT SWEATER Details,89.90 USD,Camel
1575157430-6046,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,DRESS WITH METALLIC THREAD,https://www.zara.com/us/en/dress-with-metallic-thread-p03859114.html,DRESS WITH METALLIC THREAD Details,119.00 USD,Pink / Lilac
1575157568-6112,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,CONTRASTING MOCK NECK SWEATER,https://www.zara.com/us/en/contrasting-mock-neck-sweater-p04331127.html,CONTRASTING MOCK NECK SWEATER Details,49.90 USD,Ecru
1575157472-6066,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,TEXTURED RUFFLE DRESS,https://www.zara.com/us/en/textured-ruffle-dress-p02142133.html,TEXTURED RUFFLE DRESS Details,149.00 USD,Black
1575157754-6202,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,WOOL BLEND SQUARE CUT SWEATER,https://www.zara.com/us/en/wool-blend-square-cut-sweater-p06771138.html,WOOL BLEND SQUARE CUT SWEATER Details,119.00 USD,Sand / Marl
1575157439-6050,https://www.zara.com/us/en/woman-knitwear-l1152.html?v1=1281621,SPARKLY KNIT TOP,https://www.zara.com/us/en/sparkly-knit-top-p08146115.html,SPARKLY KNIT TOP Details,35.90 USD,Black
