���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575145109-3634,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,SHIRT WITH PATCH POCKETS,https://www.zara.com/us/en/shirt-with-patch-pockets-p05216245.html,SHIRT WITH PATCH POCKETS Details,49.90 USD,Gray
1575144457-3336,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,ASYMMETRICAL STRIPED SHIRT,https://www.zara.com/us/en/asymmetrical-striped-shirt-p07904084.html,ASYMMETRICAL STRIPED SHIRT Details,39.90 USD,Sky blue
1575144729-3457,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,RUFFLED KNIT TOP,https://www.zara.com/us/en/ruffled-knit-top-p04331128.html,RUFFLED KNIT TOP Details,null,Black
1575143893-3070,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,MIXED SHIRT,https://www.zara.com/us/en/mixed-shirt-p05039929.html,MIXED SHIRT Details,25.90 USD,Oyster White
1575144409-3313,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,FEATHER SHIRT,https://www.zara.com/us/en/feather-shirt-p03666177.html,FEATHER SHIRT Details,49.90 USD,Ecru
1575143895-3071,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,VOLUMINOUS POPLIN TOP,https://www.zara.com/us/en/voluminous-poplin-top-p00881134.html,VOLUMINOUS POPLIN TOP Details,39.90 USD,Black
1575144803-3490,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,TEXTURED VOLUMINOUS TOP,https://www.zara.com/us/en/textured-voluminous-top-p07385130.html,TEXTURED VOLUMINOUS TOP Details,39.90 USD,White
1575144591-3391,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,SPARKLY KNIT TOP,https://www.zara.com/us/en/sparkly-knit-top-p08146115.html,SPARKLY KNIT TOP Details,35.90 USD,Black
1575144097-3165,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,COMBINATION PLEATED T-SHIRT,https://www.zara.com/us/en/combination-pleated-t-shirt-p00264451.html,COMBINATION PLEATED T-SHIRT Details,19.90 USD,champagne
1575144561-3377,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,FLORAL PRINT BLOUSE,https://www.zara.com/us/en/floral-print-blouse-p08047126.html,FLORAL PRINT BLOUSE Details,39.90 USD,Ecru / Green
1575144170-3200,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,SEQUIN CROPPED TOP,https://www.zara.com/us/en/sequin-cropped-top-p01067452.html,SEQUIN CROPPED TOP Details,35.90 USD,Duck blue
1575144623-3406,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,LONG POPLIN SHIRT,https://www.zara.com/us/en/long-poplin-shirt-p04886272.html,LONG POPLIN SHIRT Details,49.90 USD,Caramel
1575145271-3712,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,METALLIC THREAD PRINTED BLOUSE,https://www.zara.com/us/en/metallic-thread-printed-blouse-p04786293.html,METALLIC THREAD PRINTED BLOUSE Details,69.90 USD,Black
1575143870-3059,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,POLKA DOT ORGANZA TOP,https://www.zara.com/us/en/polka-dot-organza-top-p03067126.html,POLKA DOT ORGANZA TOP Details,39.90 USD,Black
1575143983-3110,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,CROPPED POLKA DOT TOP,https://www.zara.com/us/en/cropped-polka-dot-top-p07484152.html,CROPPED POLKA DOT TOP Details,35.90 USD,Navy blue
1575144130-3181,https://www.zara.com/us/en/woman-shirts-l1217.html?v1=1281626,TEXTURED WEAVE BLOUSE,https://www.zara.com/us/en/textured-weave-blouse-p07795471.html,TEXTURED WEAVE BLOUSE Details,39.90 USD,Pink
