���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575142324-2831,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX LEATHER JACKET,https://www.zara.com/us/en/faux-leather-jacket-p03046242.html,FAUX LEATHER JACKET Details,49.90 USD,Black
1575142218-2780,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,SEMI-SHEER BOMBER,https://www.zara.com/us/en/semi-sheer-bomber-p07484221.html,SEMI-SHEER BOMBER Details,49.90 USD,Black
1575142520-2924,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,BELTED WATER REPELLENT DOWN FILLED COAT,https://www.zara.com/us/en/belted-water-repellent-down-filled-coat-p00587040.html,BELTED WATER REPELLENT DOWN FILLED COAT Details,199.00 USD,Black
1575142338-2838,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,OVERSIZED PUFFER JACKET,https://www.zara.com/us/en/oversized-puffer-jacket-p04341202.html,OVERSIZED PUFFER JACKET Details,89.90 USD,Black
1575142613-2969,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,DOUBLE-FACED JACKET,https://www.zara.com/us/en/double-faced-jacket-p06318237.html,DOUBLE-FACED JACKET Details,119.00 USD,Black
1575142295-2817,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,RIPPED DENIM SHIRT,https://www.zara.com/us/en/ripped-denim-shirt-p06045200.html,RIPPED DENIM SHIRT Details,69.90 USD,Gray
1575142181-2762,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,CROPPED PLAID JACKET,https://www.zara.com/us/en/cropped-plaid-jacket-p04391213.html,CROPPED PLAID JACKET Details,39.90 USD,Dark camel
1575142605-2965,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,HOODED PUFFER JACKET,https://www.zara.com/us/en/hooded-puffer-jacket-p04391201.html,HOODED PUFFER JACKET Details,119.00 USD,Ecru
1575142371-2854,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FLEECE LINED DENIM JACKET,https://www.zara.com/us/en/fleece-lined-denim-jacket-p05252226.html,FLEECE LINED DENIM JACKET Details,69.90 USD,Blue
1575142388-2862,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX FUR JACKET,https://www.zara.com/us/en/faux-fur-jacket-p01255212.html,FAUX FUR JACKET Details,89.90 USD,Natural
1575142416-2874,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,STRAIGHT CUT BLAZER WITH POCKETS,https://www.zara.com/us/en/straight-cut-blazer-with-pockets-p08009703.html,STRAIGHT CUT BLAZER WITH POCKETS Details,149.00 USD,Black
1575142320-2829,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,PACKABLE WATER REPELLENT PUFFER JACKET - BAG,https://www.zara.com/us/en/packable-water-repellent-puffer-jacket---bag-p04391216.html,PACKABLE WATER REPELLENT PUFFER JACKET - BAG Details,69.90 USD,Black
1575142258-2799,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,PACKABLE RAINCOAT - BELT BAG,https://www.zara.com/us/en/packable-raincoat---belt-bag-p04391208.html,PACKABLE RAINCOAT - BELT BAG Details,39.90 USD,Fluorescent lime
1575142255-2798,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,HOODED JACKET,https://www.zara.com/us/en/hooded-jacket-p02712200.html,HOODED JACKET Details,39.90 USD,Fluorescent lime
1575142435-2883,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,REVERSIBLE PADDED VEST,https://www.zara.com/us/en/reversible-padded-vest-p08073230.html,REVERSIBLE PADDED VEST Details,69.90 USD,Black / Green
1575142268-2804,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,CROPPED JACKET WITH POCKETS,https://www.zara.com/us/en/cropped-jacket-with-pockets-p04979227.html,CROPPED JACKET WITH POCKETS Details,49.90 USD,Khaki
1575142224-2783,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,SHELL JACKET,https://www.zara.com/us/en/shell-jacket-p02903250.html,SHELL JACKET Details,69.90 USD,Cream
1575142367-2852,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,RUSTIC QUILTED JACKET,https://www.zara.com/us/en/rustic-quilted-jacket-p06929224.html,RUSTIC QUILTED JACKET Details,89.90 USD,Ecru
1575142220-2781,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,JACKET WITH POCKETS,https://www.zara.com/us/en/jacket-with-pockets-p09632257.html,JACKET WITH POCKETS Details,49.90 USD,Khaki
1575142615-2970,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FLEECE JACKET,https://www.zara.com/us/en/fleece-jacket-p08741229.html,FLEECE JACKET Details,119.00 USD,Camel
1575142357-2847,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,HOODED PUFFER JACKET,https://www.zara.com/us/en/hooded-puffer-jacket-p06318222.html,HOODED PUFFER JACKET Details,69.90 USD,Khaki
1575142394-2865,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,DENIM JACKET,https://www.zara.com/us/en/denim-jacket-p04743203.html,DENIM JACKET Details,39.90 USD,Black
1575142305-2822,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,NEOPRENE STYLE JACKET,https://www.zara.com/us/en/neoprene-style-jacket-p04341231.html,NEOPRENE STYLE JACKET Details,49.90 USD,Electric blue
1575142619-2972,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,WATER REPELLENT QUILTED COAT,https://www.zara.com/us/en/water-repellent-quilted-coat-p00518268.html,WATER REPELLENT QUILTED COAT Details,129.00 USD,Black
1575142483-2906,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX LEATHER JACKET,https://www.zara.com/us/en/faux-leather-jacket-p03427201.html,FAUX LEATHER JACKET Details,69.90 USD,Black
1575142311-2825,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FLORAL PRINT ORGANZA BOMBER JACKET,https://www.zara.com/us/en/floral-print-organza-bomber-jacket-p07908100.html,FLORAL PRINT ORGANZA BOMBER JACKET Details,69.90 USD,32
1575142450-2890,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,SHORT TWEED JACKET,https://www.zara.com/us/en/short-tweed-jacket-p06873132.html,SHORT TWEED JACKET Details,69.90 USD,Red
1575142560-2943,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,WATER REPELLENT HOODED DOWN JACKET,https://www.zara.com/us/en/water-repellent-hooded-down-jacket-p08073256.html,WATER REPELLENT HOODED DOWN JACKET Details,169.00 USD,Camel
1575142210-2776,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,BELTED JACKET WITH POCKETS,https://www.zara.com/us/en/belted-jacket-with-pockets-p05520200.html,BELTED JACKET WITH POCKETS Details,49.90 USD,Beige
1575142475-2902,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,CONTRASTING PUFFER JACKET,https://www.zara.com/us/en/contrasting-puffer-jacket-p00068221.html,CONTRASTING PUFFER JACKET Details,89.90 USD,Black
1575142617-2971,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,PLAID TWEED JACKET,https://www.zara.com/us/en/plaid-tweed-jacket-p04886041.html,PLAID TWEED JACKET Details,89.90 USD,Black / Ecru
1575142206-2774,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,BASIC DENIM JACKET,https://www.zara.com/us/en/basic-denim-jacket-p04979022.html,BASIC DENIM JACKET Details,39.90 USD,Light Blue
1575142289-2814,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,VELVET JACKET,https://www.zara.com/us/en/velvet-jacket-p07901203.html,VELVET JACKET Details,49.90 USD,Black
1575142456-2893,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,HOODED PUFFER JACKET,https://www.zara.com/us/en/hooded-puffer-jacket-p08073925.html,HOODED PUFFER JACKET Details,69.90 USD,Camel
1575142363-2850,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX LEATHER OVERSHIRT,https://www.zara.com/us/en/faux-leather-overshirt-p03046261.html,FAUX LEATHER OVERSHIRT Details,69.90 USD,Black
1575142454-2892,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,WATER REPELLENT PARKA,https://www.zara.com/us/en/water-repellent-parka-p03427206.html,WATER REPELLENT PARKA Details,149.00 USD,Black
1575142510-2919,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,WATER RESISTENT DOWN FILLED PUFFER COAT,https://www.zara.com/us/en/water-resistent-down-filled-puffer-coat-p00518253.html,WATER RESISTENT DOWN FILLED PUFFER COAT Details,169.00 USD,Black
1575142330-2834,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,OVERSIZED PUFFER BOMBER,https://www.zara.com/us/en/oversized-puffer-bomber-p05320204.html,OVERSIZED PUFFER BOMBER Details,69.90 USD,Black
1575142322-2830,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX LEATHER BIKER JACKET,https://www.zara.com/us/en/faux-leather-biker-jacket-p03046249.html,FAUX LEATHER BIKER JACKET Details,69.90 USD,Black
1575142479-2904,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,PLAID TWEED JACKET,https://www.zara.com/us/en/plaid-tweed-jacket-p08289416.html,PLAID TWEED JACKET Details,129.00 USD,Black / Ecru
1575142543-2935,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX LEATHER BIKER JACKET,https://www.zara.com/us/en/faux-leather-biker-jacket-p03046243.html,FAUX LEATHER BIKER JACKET Details,69.90 USD,MARSALA
1575142464-2897,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,SHINY FRINGE JACKET,https://www.zara.com/us/en/shiny-fringe-jacket-p03305253.html,SHINY FRINGE JACKET Details,69.90 USD,Black
1575142458-2894,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,HOODED PUFFER JACKET,https://www.zara.com/us/en/hooded-puffer-jacket-p08073225.html,HOODED PUFFER JACKET Details,69.90 USD,Navy blue
1575142588-2957,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,DOUBLE-FACED BIKER JACKET,https://www.zara.com/us/en/double-faced-biker-jacket-p02969242.html,DOUBLE-FACED BIKER JACKET Details,149.00 USD,Ecru
1575142264-2802,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX SUEDE FRINGED OVERSHIRT,https://www.zara.com/us/en/faux-suede-fringed-overshirt-p08372229.html,FAUX SUEDE FRINGED OVERSHIRT Details,69.90 USD,Brandy
1575142468-2899,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX LEATHER JACKET,https://www.zara.com/us/en/faux-leather-jacket-p03046223.html,FAUX LEATHER JACKET Details,89.90 USD,Black
1575142580-2953,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,HOODED PUFFER COAT,https://www.zara.com/us/en/hooded-puffer-coat-p08073227.html,HOODED PUFFER COAT Details,89.90 USD,Black
1575142328-2833,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,BELTED DENIM JACKET,https://www.zara.com/us/en/belted-denim-jacket-p01224240.html,BELTED DENIM JACKET Details,89.90 USD,Black
1575142326-2832,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FAUX LEATHER JACKET WITH BUTTONS,https://www.zara.com/us/en/faux-leather-jacket-with-buttons-p03046246.html,FAUX LEATHER JACKET WITH BUTTONS Details,39.90 USD,Black
1575142183-2763,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,PLEATED BOMBER JACKET,https://www.zara.com/us/en/pleated-bomber-jacket-p08741220.html,PLEATED BOMBER JACKET Details,null,Black
1575142460-2895,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,OVERSIZED PUFFER JACKET,https://www.zara.com/us/en/oversized-puffer-jacket-p00155240.html,OVERSIZED PUFFER JACKET Details,129.00 USD,Black
1575142222-2782,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,FRAYED CORDUROY JACKET,https://www.zara.com/us/en/frayed-corduroy-jacket-p03305241.html,FRAYED CORDUROY JACKET Details,49.90 USD,Ecru
1575142262-2801,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,HOODED JACKET,https://www.zara.com/us/en/hooded-jacket-p06318236.html,HOODED JACKET Details,69.90 USD,Beige
1575142414-2873,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,POCKET DENIM JACKET,https://www.zara.com/us/en/pocket-denim-jacket-p08246258.html,POCKET DENIM JACKET Details,89.90 USD,Dark blue
1575142197-2770,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,ICE/PARK 03,https://www.zara.com/us/en/ice-park-03-p06518193.html,ICE/PARK 03 Details,279.00 USD,Ecru
1575142243-2792,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,CROPPED BOMBER,https://www.zara.com/us/en/cropped-bomber-p04341225.html,CROPPED BOMBER Details,35.90 USD,Black
1575142557-2942,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,2 IN 1 DOWN JACKET,https://www.zara.com/us/en/2-in-1-down-jacket-p03046226.html,2 IN 1 DOWN JACKET Details,169.00 USD,Red
1575142185-2764,https://www.zara.com/us/en/woman-jackets-l1114.html?v1=1281623,SEMI-SHEER BOMBER,https://www.zara.com/us/en/semi-sheer-bomber-p08372042.html,SEMI-SHEER BOMBER Details,39.90 USD,Black
